thai,english
สวัสดี,Hello
สวัสดี ครับ,Hello
สวัสดี ค่ะ,Hello
ขอบคุณ,Thank you
ขอบคุณ ครับ,Thank you
ขอบคุณ ค่ะ,Thank you
ฉัน ต้องการ นัดหมาย,I want an appointment
ผม ต้องการ นัดหมาย,I want an appointment
ฉัน อยาก พบ หมอ,I want to see the doctor
ผม อยาก พบ หมอ,I want to see the doctor
พบ หมอ ที่ คลินิก,See doctor at clinic
หมอ อยู่ ที่ คลินิก,Doctor is at clinic
ฉัน ปวด หัว,I have a headache
ผม ปวด หัว,I have a headache
ฉัน ปวด ตา,I have eye pain
ผม ปวด ตา,I have eye pain
ฉัน ไม่ สบาย,I am not sick
เขา ไม่ สบาย,He is not sick
หมอ ใจดี,Doctor is kind
พยาบาล ใจดี,Nurse is kind
นัดหมาย วันไหน,When is the appointment
นัดหมาย วันนี้,Appointment is today
นัดหมาย พรุ่งนี้,Appointment is tomorrow
คลินิก เปิด วันนี้,Clinic is open today
คลินิก ปิด พรุ่งนี้,Clinic is closed tomorrow
ฉัน รัก หมอ,I love the doctor
ฉัน ชอบ คลินิก,I like the clinic
ไป โรงพยาบาล,Go to hospital
ฉัน จะ ไป โรงพยาบาล,I will go to hospital
ฉัน รัก การเขียนโค้ด,I love coding
ผม รัก การเขียนโค้ด,I love coding
ฉัน ชอบ การเขียนโค้ด,I like coding
ผม ชอบ การเขียนโค้ด,I like coding
ฉัน ต้องการ ความช่วยเหลือ,I need help
ผม ต้องการ ความช่วยเหลือ,I need help
ฉัน ต้องการ ข้อมูล,I need information
ผม ต้องการ ข้อมูล,I need information
ฉัน ต้องการ ความช่วยเหลือ ด้าน การแพทย์,I need medical help
ผม ต้องการ ความช่วยเหลือ ด้าน การแพทย์,I need medical help
ฉัน ต้องการ ข้อมูล ด้าน การแพทย์,I need medical information
ผม ต้องการ ข้อมูล ด้าน การแพทย์,I need medical information
